Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,Snippet,naics code,input tokens,output tokens
13,Chevron,222.6,26.2,233.0,232.5,USA,North America,37.09024,-95.712891,Chevron works to meet the world's growing demand for energy by exploring for oil and natural gas; refining and marketing gasoline; producing chemicals and ...,2111,101,2
14,Volkswagen Group,254.0,28.6,408.2,94.4,Germany,Europe,51.165691,10.451526,"Searching www.volkswagen-group.com. Battery, Brands, Charging, China, Core, Culture, Digitalization, Diversity, Electromobility, ESG, Heritage, Innovation, ...",3361,113,2
15,Wal-Mart Stores,469.2,17.0,203.1,242.5,USA,North America,37.09024,-95.712891,Shop Walmart today for Every Day Low Prices. Join Walmart+ for unlimited free delivery from your store & free shipping with no order minimum.,4521,102,2
15,Apple,164.7,41.7,196.1,416.6,USA,North America,37.09024,-95.712891,Buy Mac or iPad for college with education savings. Get a gift card up to $150. Only at the Apple Store.,4234,99,2
17,Gazprom,144.0,40.6,339.3,111.4,Russia,Europe,61.52401,105.318756,Error,2111,76,2
18,BP,370.9,11.6,301.0,130.4,UK,Europe,55.378051,-3.435973,Our purpose is reimagining energy for people and our planet. We want to help the world reach net zero and improve people's lives. We want to be an energy ...,2211,108,2
19,Citigroup,90.7,7.5,1864.7,143.6,USA,North America,37.09024,-95.712891,Error,5221,76,2
20,Petrobras,144.1,11.0,331.6,120.7,Brazil,South America,-14.235004,-51.92528,"Petrobras, Findes, and the Government of Espírito Santo signed a protocol for CO2 Capture and Storage and low-carbon hydrogen production · Petrobras sells ...",2131,105,2
20,Samsung Electronics,187.8,21.7,196.3,174.4,South Korea,Asia,35.907757,127.766922,Discover the latest in electronic & smart appliance technology with Samsung. Find the next big thing from smartphones & tablets to laptops & tvs & more.,3344,103,2
22,BNP Paribas,126.2,8.6,2504.2,71.3,France,Europe,46.227638,2.213749,Our experts in sustainable finance. Financing and investment policies. Financing and investment policies. Inclusion. Financial and social inclusion.,5239,99,2
23,Total,240.5,14.1,224.1,114.4,France,Europe,46.227638,2.213749,"TotalEnergies is a global integrated energy company that produces and markets energies: oil and biofuels, natural gas and green gases, renewables and ...",2111,105,2
24,AT&T,127.4,7.3,272.3,200.1,USA,North America,37.09024,-95.712891,"Shop deals on new phones, unlimited data plans, home internet with AT&T Fiber, and DIRECTV STREAM. Get 24/7 support, pay your bills & manage your account ...",5173,112,2
25,Allianz,140.3,6.8,915.8,66.4,Germany,Europe,51.165691,10.451526,"Allianz Life offers annuities, life insurance, and Buffered ETFs that can help you manage risks to your retirement security.",5241,98,2
26,Sinopec-China Petroleum,411.7,10.1,200.0,106.9,China,Asia,35.86166,104.195397,"With promoting low-carbon transformation of global energy as its goal, Sinopec is committed to leading the future of energy and chemical industry with ...",3241,105,2
27,Mitsubishi UFJ Financial,59.0,11.9,2653.1,85.7,Japan,Asia,36.204824,138.252924,Mitsubishi UFJ Financial Group is a leading global financial services group and one of the largest banking institutions in Japan.,5221,100,2
28,Bank of America,100.1,4.2,2210.0,135.5,USA,North America,37.09024,-95.712891,"What would you like the power to do? For you and your family, your business and your community. At Bank of America, our purpose is to help make financial ...",5221,110,2
29,China Mobile,88.8,20.5,168.7,213.8,Hong Kong,Asia,22.396428,114.109497,2019 Interim Results Announcement · Registered Shareholders - Notification Letter and Change Request Form · Non-Registered Holders - Notification Letter and ...,5173,103,2
30,ENI,163.7,10.0,185.2,86.3,Italy,Europe,41.87194,12.56738,"Eni.com is a digitally designed platform that offers an immediate overview of Eni's activities. It addresses everyone, recounting in a transparent and ...",2111,105,2
31,Toyota Motor,224.5,3.4,371.3,167.2,Japan,Asia,36.204824,138.252924,"Explore All Vehicles · Toyota Crown Signia Model image. As shown: $50,280 * 39/37 Est. · Highlander Model image. As shown: $46,390. · bZ4X Model image. As shown: ...",3361,126,2
33,Vodafone,74.4,11.1,219.9,135.7,UK,Europe,55.378051,-3.435973,"Vodafone is a leading technology communications company in Europe and Africa, keeping society connected and building a digital future. Find out more!",5173,99,2
34,IBM,104.5,16.6,119.2,239.5,USA,North America,37.09024,-95.712891,"For more than a century, IBM has been a global technology innovator, leading advances in AI, automation and hybrid cloud solutions that help businesses ...",5112,103,2
35,Proctor & Gamble,83.3,12.9,139.9,208.5,USA,North America,37.09024,-95.712891,"Skip to main content · Go to Procter & Gamble homepage. Home page · Navigation toggle. Go to Language Selector. USA; Navigation toggle. """" Our Brands. Brands ...",3253,112,2
36,Daimler,150.8,8.0,211.9,64.1,Germany,Europe,51.165691,10.451526,Daimler Truck North America (DTNA) is the pioneer in automated driving. We have a roadmap to develop technologies that make roads safer and help companies boost ...,3361,108,2
37,Pfizer,59.0,14.6,185.8,201.4,USA,North America,37.09024,-95.712891,"Biotechnology is our foundation. Benefiting patients is our goal. Innovation, pharmaceutical development, and the most dedicated team of clinical researchers is ...",3254,102,2
38,Statoil,126.8,12.4,140.2,78.1,Norway,Europe,60.472024,8.468946,"We are an international energy company headquartered in Norway, with over 23000 employees in around 30 countries worldwide.",2111,98,2
39,AXA Group,147.5,5.3,1005.4,45.3,France,Europe,46.227638,2.213749,"Present in 51 countries, AXA's 147000 employees and distributors are committed to serving our 94 million clients. Our areas of expertise are applied to a ...",5241,110,2
40,Commonwealth Bank,47.8,7.3,735.2,117.5,Australia,Oceania,-25.274398,133.775136,"... Commonwealth Bank Group, along with the relevant Financial Services Guide. ... We pay our respect to First Nations peoples and their Elders, past and present. © ...",5221,109,2
41,Microsoft,72.9,15.5,128.7,234.8,USA,North America,37.09024,-95.712891,"Explore Microsoft products and services and support for your home or business. Shop Microsoft 365, Copilot, Teams, Xbox, Windows, Azure, Surface and more.",5112,106,2
42,ItaÃº Unibanco Holding,70.5,6.2,453.6,82.0,Brazil,South America,-14.235004,-51.92528,Itaú Unibanco Holding SA provides financial products and services to individual and corporate clients in Brazil and abroad.,5221,102,2
43,Banco Santander,108.8,2.9,1647.8,82.1,Spain,Europe,40.463667,-3.74922,Banca Online: sin restricciones de tiempo ni de lugar · Envía dinero fácilmente con Bizum. · Controla tus gastos e ingresos del mes con gráficas. · Consulta y ...,5221,112,2
44,BHP Billiton,72.2,15.4,129.3,184.7,Australia,Oceania,-25.274398,133.775136,BHP is committed to playing our role in building a better world. We seek to do so responsibly and sustainably while continuing to create value for our ...,2123,107,2
45,Banco Bradesco,78.3,5.6,417.5,72.0,Brazil,South America,-14.235004,-51.92528,Ajuda ... Logo Bradesco Mobile. Ele é formado por dois símbolos: Dois retângulos vermelhos na vertical Busca abrir e fechar menu icon.,5221,107,2
46,Nippon Telegraph & Tel,126.9,5.6,226.0,58.2,Japan,Asia,36.204824,138.252924,"a Japanese telecommunications holding company headquartered in Tokyo, Japan. Ranked 55th in Fortune Global 500, NTT is the fourth largest telecommunications ...",5173,108,2
46,Johnson & Johnson,67.2,10.9,121.3,221.4,USA,North America,37.09024,-95.712891,"Johnson & Johnson Innovative Medicine is leading where medicine is going. Patients inform and inspire our science-based innovations, which continue to change ...",3254,102,2
48,Westpac Banking Group,43.9,6.2,699.6,98.9,Australia,Oceania,-25.274398,133.775136,"Westpac is Australia's first bank with a range of innovative financial packages to support your personal, business or corporate banking needs.",5221,100,2
49,Goldman Sachs Group,41.7,7.5,938.6,74.5,USA,North America,37.09024,-95.712891,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities, and asset and wealth management firm that provides a wide range of ...",5231,106,2
50,Royal Bank of Canada,38.3,7.7,838.5,87.2,Canada,North America,56.130366,-106.346771,"Explore the personal banking services and products available from RBC Royal Bank to help you manage your finances, buy a home, invest and more.",5221,103,2
51,Siemens,100.6,5.7,134.4,91.9,Germany,Europe,51.165691,10.451526,"By combining the real and the digital worlds, we empower our customers to transform their industries and markets, helping them to transform the everyday for ...",3345,103,2
51,Sumitomo Mitsui Financial,47.3,6.3,1733.2,57.6,Japan,Asia,36.204824,138.252924,"The Sumitomo Mitsui Financial Group (SMFG) website provides corporate, IR, customer satisfaction and other information for the benefit of investors and ...",5221,109,2
53,Ford Motor,134.3,5.7,190.6,51.8,USA,North America,37.09024,-95.712891,... engine and electric motor(s) with peak battery power. The calculations utilize SAE J1349® engine results and Ford electric motor dyno testing. Your ...,3361,107,2
54,Bank of Communications,43.5,9.4,846.4,56.7,China,Asia,35.86166,104.195397,Error,5221,77,2
55,BMW Group,98.8,6.6,165.5,60.0,Germany,Europe,51.165691,10.451526,Welcome to the BMW Group. Our focus on the premium idea and the principle of sustainability appeals to people worldwide.,3361,96,2
56,Comcast,62.6,6.2,165.0,106.3,USA,North America,37.09024,-95.712891,"Save on high speed internet, mobile phone plans and cable TV services with Xfinity. Enjoy entertainment your way with great deals on Xfinity by Comcast.",5173,104,2
58,National Australian Bank,49.2,4.2,791.3,76.3,Australia,Oceania,-25.274398,133.775136,"NAB personal banking financial solutions include online banking, bank accounts, credit cards, home loans and personal loans. But we're here to support you ...",5221,104,2
59,Rosneft,68.8,11.2,126.3,73.2,Russia,Europe,61.52401,105.318756,"The fifth Russian-Chinese Energy Business Forum (RCEBF) was opened on Tuesday in Beijing, the capital of the People's Republic of China.",2131,104,2
60,ING Group,130.0,5.1,1533.7,31.9,The Netherlands,Europe,52.132633,5.291266,"Corporate Site of ING, a global financial institution of Dutch origin, providing news, investor relations and general information.",5211,96,2
61,Sberbank,36.1,10.8,441.1,73.3,Russia,Europe,61.52401,105.318756,"About SberBank. SberBank is the largest Bank in Russia, Central and Eastern Europe, one of the leading international financial institutions. We give people ...",5221,108,2
62,TelefÃ³nica,82.3,5.2,161.5,67.1,Spain,Europe,40.463667,-3.74922,"Telefónica, a multinational telecommunications company with its headquarters in Madrid. Learn all about us here.",5173,96,2
62,American International Group,65.7,3.4,548.6,57.5,USA,North America,37.09024,-95.712891,"We are American International Group, Inc, (AIG), a leading global insurance organization providing a wide range of property casualty insurance and other ...",5241,104,2
64,Lukoil,116.3,11.0,99.0,55.4,Russia,Europe,61.52401,105.318756,LUKOIL is one of the world's largest international vertically integrated oil and gas companies with businesses located in over 30 countries worldwide. Learn ...,2111,105,2
65,Prudential,90.2,3.6,489.4,44.7,UK,Europe,55.378051,-3.435973,"Helping individuals and institutions improve their financial wellness through life & health insurance, retirement services, annuities and investment ...",5241,99,2
66,ANZ,37.5,5.9,666.9,81.2,Australia,Oceania,-25.274398,133.775136,"ANZ offers a range of personal banking services such as internet banking, bank accounts, credit cards, home loans, personal loans, travel and international, ...",5221,106,2
67,Banco do Brasil,69.0,6.0,552.2,37.9,Brazil,South America,-14.235004,-51.92528,O Banco do Brasil tem serviços pensados em quem sempre está ao nosso lado: você. Abra sua conta pelo App ou pela Internet e aproveite!,5221,105,2
68,Google,50.2,10.7,93.8,268.4,USA,North America,37.09024,-95.712891,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking ...",5183,102,2
69,BASF,103.9,6.4,83.5,90.1,Germany,Europe,51.165691,10.451526,"BASF strengthens its activities in research and development (R&D) for sustainable agricultural innovations, helping farmers to overcome environmental and ...",3253,100,2
70,General Motors,152.3,6.2,149.4,38.5,USA,North America,37.09024,-95.712891,"General Motors is home to Buick, Cadillac, GMC & Chevrolet. Learn about General Motor's rich history and dedication to community, sustainability, ...",3361,103,2
71,TD Bank Group,30.6,6.7,819.4,76.9,Canada,North America,56.130366,-106.346771,"Welcome to TD Bank! Explore our banking services, credit cards, loans, home lending, and other financial products for you and your business.",5221,103,2
72,Sanofi,46.1,6.6,132.4,131.6,France,Europe,46.227638,2.213749,"Explore Sanofi's global impact through our science, healthcare R&D, and partnerships. Committed to advancing global health with innovative solutions.",3254,101,2
73,ConocoPhillips,58.4,8.4,117.1,72.1,USA,North America,37.09024,-95.712891,"ConocoPhillips explores for, develops and produces crude oil and natural gas globally.",2111,93,2
74,EDF,95.9,4.4,325.2,35.3,France,Europe,46.227638,2.213749,"We are Environmental Defense Fund. We are a global nonprofit organization tackling climate change — the greatest challenge of our time. Our bold, game-changing ...",5416,103,2
76,Anheuser-Busch InBev,39.8,7.2,122.6,153.5,Belgium,Europe,50.503887,4.469936,"Connect ... AB InBev is committed to improving the accessibility of our websites for all users, including those with disabilities. Read the accessibility ...",3121,109,2
77,Intel,53.3,11.0,84.4,105.7,USA,North America,37.09024,-95.712891,"Intel's innovation in cloud computing, data center, Internet of Things, and PC solutions is powering the smart and connected digital world we live in.",3341,102,2
78,Mizuho Financial,32.8,5.9,2005.0,53.7,Japan,Asia,36.204824,138.252924,Mizuho Financial Group is a financial partner that helps customers shape their future and achieve their dreams.,5221,96,2
79,Coca-Cola,48.0,9.0,86.2,173.1,USA,North America,37.09024,-95.712891,"Welcome to your one-stop shop for promotions, sweepstakes, and fun across all your favorite Coca-Cola brands.",3121,97,2
80,Cisco Systems,47.3,9.3,95.4,116.9,USA,North America,37.09024,-95.712891,"Cisco is a worldwide technology leader. Our purpose is to power an inclusive future for all through software, networking, security, computing, and more ...",3341,104,2
81,Munich Re,88.0,4.2,340.6,34.9,Germany,Europe,51.165691,10.451526,"Munich Re is a leading global provider of reinsurance, primary insurance and insurance-related risk solutions.",5241,94,2
82,Merck & Co,47.3,6.2,106.1,133.3,USA,North America,37.09024,-95.712891,"This website of Merck & Co., Inc., Rahway, N.J., USA (the “company ... Merck & Co Inc, Rahway, NJ USA. Continue. This Site Uses Cookies and Your ...",3254,120,2
83,Ping An Insurance Group,51.1,3.2,456.2,57.0,China,Asia,35.86166,104.195397,Ping An aspires to be a world-leading retail financial services group and China's leading managed care provider.,5241,96,2
84,Bank of Nova Scotia,27.6,6.4,737.2,70.6,Canada,North America,56.130366,-106.346771,"Welcome to Scotiabank's global site. We offer personal and commercial banking, wealth management and private banking, corporate and investment banking, and ...",5221,107,2
85,Nissan Motor,113.7,4.1,133.4,43.4,Japan,Asia,36.204824,138.252924,"Nissan Motor Corporation Global Website: Visit the site for information about Nissan, sustainability, IR, and innovation. This site also provides various ...",3361,103,2
86,Honda Motor,96.0,2.6,140.9,72.4,Japan,Asia,36.204824,138.252924,Explore an innovative line of quality products from American Honda Motor Company. Find the latest news and information on Honda and Acura brand products.,3361,100,2
87,Vale,45.7,4.8,130.4,92.7,Brazil,South America,-14.235004,-51.92528,"Vale Food Co is a Healthy, Florida-Based Fast Casual Restaurant that offers catering services! Our meals are packed with high quality nutrients while ...",7225,101,2
88,PepsiCo,65.5,6.2,74.6,118.9,USA,North America,37.09024,-95.712891,"This website uses cookies so that we can provide you with the best user experience. To learn more and to change your cookie settings, click ""Manage Cookie ...",3121,107,2
89,Hyundai Motor,75.0,7.6,114.3,41.5,South Korea,Asia,35.907757,127.766922,"Hyundai Official Website. Explore Hyundai Motor's various vehicle lineups ,brand vision and global campaign like clean mobility, sustainability, ...",3361,101,2
90,UnitedHealth Group,110.6,5.5,80.9,56.1,USA,North America,37.09024,-95.712891,"Helping to create a consumer-first health system focused on high-quality outcomes, better experiences and affordability.",6211,94,2
91,BBVA-Banco Bilbao Vizcaya,52.1,2.2,840.8,54.7,Spain,Europe,40.463667,-3.74922,"The latest banks and financial services company and industry news with expert analysis from the BBVA, Banco Bilbao Vizcaya Argentaria.",5221,106,2
92,United Technologies,57.7,5.1,89.4,85.5,USA,North America,37.09024,-95.712891,Raytheon Technologies Businesses. RTX · Collins Aerospace · Pratt & Whitney ... We are RTX: a diverse team of explorers united in our goal to push the ...,3364,107,2
94,Saudi Basic Industries,50.4,6.6,90.2,74.8,Saudi Arabia,Asia,23.885942,45.079162,Our Industries · Agriculture · automotice Automotive · Building & Construction · Consumer · Electrical & Electronics · Healthcare Hygiene & Healthcare · Industrial ...,3251,103,2
95,GDF Suez,128.0,2.0,268.9,45.0,France,Europe,46.227638,2.213749,"Apr 24, 2015 ... We have decided to give the Group a new name: ENGIE. It is an easy name and one that is powerful, a name that evokes energy for everyone and in all cultures.",2211,121,2
96,Boeing,81.7,3.9,88.9,65.4,USA,North America,37.09024,-95.712891,"Welcome to the official corporate site for the world's largest aerospace company and leading manufacturer of commercial jetliners and defense, ...",3364,99,2
97,Caterpillar,65.9,5.7,89.4,58.2,USA,North America,37.09024,-95.712891,"Caterpillar is the world's leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial turbines and ...",3331,99,2
98,Standard Chartered,26.9,4.9,636.5,64.4,UK,Europe,55.378051,-3.435973,Standard Chartered is a leading international cross-border bank connecting the world's most dynamic markets.,5221,90,2
99,E.ON,174.2,2.9,184.9,32.5,Germany,Europe,51.165691,10.451526,The new E.ON is an international energy company focused on smart grids and customer solutions to drive the energy transition in Europe.,2211,98,2
100,AmÃ©rica MÃ³vil,60.2,7.1,74.6,70.7,Mexico,North America,23.634501,-102.552784,"América Móvil, S.A.B. de C.V. is a Mexican telecommunications corporation headquartered in Mexico City, Mexico. It is the 7th largest mobile network ...",5173,115,2
101,China Merchants Bank,28.4,7.3,547.0,44.1,China,Asia,35.86166,104.195397,Pay-as-you-go service · Combo loans · Joint guarantee loan · Specialist guarantee loan · Housing Mortgage loan · More.,5221,99,2
102,Oracle,37.1,10.6,79.4,172.0,USA,North America,37.09024,-95.712891,Oracle offers a comprehensive and fully integrated stack of cloud applications and cloud platform services.,5415,89,2
103,Unilever,67.7,5.9,59.9,122.3,The Netherlands,Europe,52.132633,5.291266,"At Unilever we meet everyday needs for nutrition, hygiene and personal care with brands that help people feel good, look good and get more out of life.",3251,105,2
104,CVS Caremark,123.1,3.9,65.9,66.0,USA,North America,37.09024,-95.712891,CVS Caremark is a pharmacy benefit manager dedicated to helping each of our members on a path to better health by getting them the prescriptions they need ...,5241,106,2
105,Tesco,102.8,4.5,81.1,46.9,UK,Europe,55.378051,-3.435973,"Welcome to Tesco online. Discover great value groceries, plus clothing, recipes, bank, and mobile services. Browse on Tesco.com now!",4451,101,2
106,China Life Insurance,63.2,1.8,304.6,79.9,China,Asia,35.86166,104.195397,"Savings, Medical Protection, Retirement Protection, Juvenile Protection, Accident Life Protection, Critical Illness Protection, MPF, ORSO, Employee Benefits ...",5241,106,2
107,China Minsheng Banking,27.9,6.1,515.5,43.9,China,Asia,35.86166,104.195397,CMBC provide a full range of banking services to all types of customers here. More> · About CMBC · Introduction ...,5221,102,2
108,Walt Disney,42.8,5.6,80.6,104.0,USA,North America,37.09024,-95.712891,The mission of The Walt Disney Company is to be one of the world's leading producers and providers of entertainment and information.,5121,98,2
108,American Express,33.8,4.5,153.1,73.0,USA,North America,37.09024,-95.712891,"American Express offers world-class Charge and Credit Cards, Gift Cards, Rewards, Travel, Personal Savings, Business Services, Insurance and more.",5211,101,2
110,Mitsubishi Corp,67.2,5.5,152.6,32.1,Japan,Asia,36.204824,138.252924,Mitsubishi Corporation (MC) is a global integrated business enterprise that develops and operates businesses together with its global network of around 1800 ...,5511,104,2
111,Cnooc,39.2,10.1,73.2,84.3,Hong Kong,Asia,22.396428,114.109497,Oil & Gas Exploration and Development. CNOOC always puts oil & gas exploration and development high on its agenda in an innovative manner to stabilize and ...,2111,106,2
112,GlaxoSmithKline,43.0,7.4,63.5,111.1,UK,Europe,55.378051,-3.435973,'Putting patients first means caring about the air they breathe'. Climate change and air pollution negatively impact the health of patients with respiratory ...,3241,104,2
113,Hon Hai Precision,132.1,10.7,65.8,32.1,Taiwan,Asia,23.69781,120.960515,"Feb 7, 2021 ... Hon Hai Precision Industry Co., also known by its trade name, Foxconn, is the world's largest contract electronics manufacturer. It makes mobile ...",3344,112,2
114,Ecopetrol,39.0,8.4,64.4,116.2,Colombia,South America,4.570868,-74.297333,"Bienvenido al Portal Ecopetrol, Ecopetrol 70 años.",2111,93,2
115,China Shenhua Energy,39.7,7.7,70.2,70.8,China,Asia,35.86166,104.195397,China Shenhua WeChat. Parent Company. CHN ENERGY. Domestic Peers. Shandong Energy Group · Jinneng Holding Group · Shaanxi Coal and Chemical · Jizhong Energy ...,2121,117,2
116,US Bancorp,22.2,5.6,353.9,63.8,USA,North America,37.09024,-95.712891,"Bank Smartly® Checking account, Safe Debit account, Savings accounts, Money market accounts, CDs, Debit Cards, Visa gift cards, Mobile & online features.",5221,107,2
117,Hitachi,116.8,4.2,113.2,28.5,Japan,Asia,36.204824,138.252924,"Official website of Hitachi, Ltd. Hitachi drives Social Innovation Business, creating a sustainable society with data and technology.",5415,98,2
118,Nordea Bank,23.2,4.2,892.6,47.1,Sweden,Europe,60.128161,18.643501,3 days ago ... Nordea is a leading Nordic universal bank – we are a strong and personal financial partner with financial solutions that best meet your needs so you can ...,5221,110,2
119,Schlumberger,42.3,5.5,61.5,105.5,The Netherlands,Europe,52.132633,5.291266,... Schlumberger Foundation · Case Studies · Our Alumni. Leadership and Governance. Back. Leadership and Governance · Executive Management. Corporate Governance.,2131,104,2
120,Bayer,52.5,3.2,65.6,84.9,Germany,Europe,51.165691,10.451526,"Aug 20, 2024 ... We exist to help people thrive - Advancing health and nutrition is what we do best and care about most.",3254,104,2
121,Reliance Industries,70.3,3.9,64.2,50.4,India,Asia,20.593684,78.96288,Reliance Industries Limited is a Fortune 500 company and the largest private sector corporation in India. Our activities span hydrocarbon exploration and ...,2111,103,2
122,MetLife,68.2,1.3,836.8,44.0,USA,North America,37.09024,-95.712891,"Stay covered with MetLife: life, auto & home, dental, vision and more. Learn more about MetLife employee benefits and financial solutions.",5241,103,2
123,Abbott Laboratories,39.9,6.0,67.2,53.6,USA,North America,37.09024,-95.712891,"Innovative medical devices and health care solutions for cardiovascular health, diabetes management, diagnostic testing, nutrition, chronic pain and more.",3391,99,2
124,Iberdrola,45.1,3.7,121.7,33.6,Spain,Europe,40.463667,-3.74922,Iberdrola: pioneers in renewable energies and leading the energy transition and the decarbonisation of the economy.,2211,99,2
125,Shanghai Pudong Development,25.4,5.4,504.5,31.6,China,Asia,35.86166,104.195397,... jpg 浦发科创banner（浦发蓝字体色）.jpg 05.jpg. Contact_Us| Disclaimer| Good Link| Add to favorite. ©Shanghai Pudong Development Bank. All right reserved.,5221,121,2
126,Mitsui & Co,63.4,5.2,109.3,27.0,Japan,Asia,36.204824,138.252924,"Utilizing our global operating locations, network and information resources, we are multilaterally pursuing business that ranges from product sales, ...",4234,103,2
128,China Citic Bank,24.4,4.9,474.7,32.5,China,Asia,35.86166,104.195397,Your everyday banking companion wherever in life you're going. Manage your finances and investments quickly and easily while taking control of your financial ...,5221,102,2
129,Home Depot,74.8,4.5,41.1,103.3,USA,North America,37.09024,-95.712891,"Shop online for all your home improvement needs: appliances, bathroom decorating ideas, kitchen remodeling, patio furniture, power tools, bbq grills, ...",4441,103,2
130,Phillips 66,166.1,4.1,48.1,39.9,USA,North America,37.09024,-95.712891,"Providing Energy. Improving Lives. Guided by our core values of safety, honor and commitment, we work to meet the world's energy needs today and tomorrow.",3241,106,2
131,Bank of Montreal,20.9,4.1,542.9,41.0,Canada,North America,56.130366,-106.346771,"BMO Canada offers a wide range of personal banking services including chequing and savings accounts, mortgages, credit cards, loans, investments and ...",5211,105,2
133,MÃ¸ller-Maersk,60.5,3.8,73.7,35.0,Denmark,Europe,56.26392,9.501785,A.P. Møller – Mærsk A/S usually known simply as Maersk is a Danish shipping and logistics company founded in 1904 by Arnold Peter Møller and his father ...,4881,122,2
134,Verizon Communications,115.8,0.9,225.2,137.3,USA,North America,37.09024,-95.712891,"Shop Verizon smartphone deals and wireless plans on the largest 4G LTE network. First to 5G. Get Fios for the fastest internet, TV and phone service.",5173,110,2
135,EADS,74.5,1.6,115.5,46.0,The Netherlands,Europe,52.132633,5.291266,"Designing for the Future… ... As one of the country's leading design consulting firms, The EADS Group is big enough to handle the major projects in the industry ...",5413,107,2
136,State Bank of India,35.1,3.0,359.1,28.1,India,Asia,20.593684,78.96288,Have you tried our new simplified and intuitive business banking platform? Log in to yonobusiness.sbi to avail business banking services.,5221,102,2
137,Hutchinson Whampoa,31.3,3.4,103.7,45.1,Hong Kong,Asia,22.396428,114.109497,Hutchison Whampoa ... Hutchison Whampoa Limited (HWL) was an investment holding company based in Hong Kong. It was a Fortune Global 500 company and one of the ...,5511,118,2
137,News Corp,34.3,4.0,62.7,70.6,USA,North America,37.09024,-95.712891,News Corp ... Passionate. Principled. Purposeful. News Corp delivers authoritative and engaging content from some of the world's most trusted brands. See Our ...,5111,106,2
139,China Telecom,44.9,2.4,87.4,42.0,China,Asia,35.86166,104.195397,China Telecom will comprehensively and deeply implement its Cloudification and Digital Transformation strategy. Tangibly enhance its core competitiveness.,5173,97,2
140,Capital One Financial,23.8,3.5,312.9,32.1,USA,North America,37.09024,-95.712891,Learn how banking with Capital One can help you meet your financial goals.,5221,89,2
141,Repsol YPF,77.7,2.7,81.2,28.8,Spain,Europe,40.463667,-3.74922,"At Repsol, we transform energy to bring it closer to people, and we leverage technological innovation to take on the present and the future.",2111,106,2
142,Suncor Energy,38.8,2.8,76.8,47.3,Canada,North America,56.130366,-106.346771,Suncor is a unique and sustainable energy company dedicated to vigorous growth in worldwide markets through meeting or exceeding the changing expectations ...,2111,102,2
142,Industrial Bank,18.7,4.1,382.3,38.2,China,Asia,35.86166,104.195397,"Industrial Bank has been a strong partner for small and large businesses, homeowners and personal banking account customers in Washington, DC.",5221,98,2
144,PTT PCL,89.9,3.4,53.3,32.9,Thailand,Asia,15.870032,100.992541,"PTT Electronic Bill Presentment & Payment · PTT E-Tax Web · Sustainable Growth for All. People: Human resource, community, and social development. Human ...",5412,111,2
